mut_index	VAR_0	TOT_0	cluster	state_tree	true_cluster_DCF0	point_estimate_DCF0	cmm_CCF0	Explained	LHs
1.54075556.A.G	13	98	3	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.40723422982990287;(0.4067,0.4074)	0.323076530612	0.323076530612	0;1;2;3;4;5;6	1156.5288081912124;14.498592407647386;1156.5288081912124;-2.012164901635252;3.270786122779917;-1.2378639691269413;15.690839363012323
1.54106338.A.T	4	67	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.145402985075	0.145402985075	0;1;2;3;4;5;6	350.64454328954645;18.06250578662619;350.64454328954645;0.9121733755537882;7.622378639798491;-2.305167493224616;19.095784489742137
1.54277998.G.C	8	70	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.278342857143	0.278342857143	0;1;2;3;4;5;6	709.5962908909116;11.756892214584663;709.5962908909116;-1.57858952857082;3.0099727377029133;-2.0110820353431578;12.665886655432335
1.54715326.C.A	18	28	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.782839285714	0;1;2;3;4;5;6	1638.1040857696535;-1.2672259917877362;1638.1040857696535;14.265867222710625;0.5215478003159859;25.437813854138305;-1.3401610770762211
1.54715418.C.T	12	20	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.73065	0;1;2;3;4;5;6	1090.4525231370721;-1.3092988175703244;1090.4525231370721;8.137672034766458;-0.46386450548821934;15.460590846743576;-1.3234386617283445
1.54900774.G.C	3	46	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.158836956522	0.158836956522	0;1;2;3;4;5;6	262.8323295066258;11.225955666942372;262.8323295066258;-0.24457445252279442;4.201589571997971;-2.2589972254998187;11.924045278609285
1.55179005.T.A	16	41	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	0.9738;(0.9723,0.9754)	0.95043902439	0.95043902439	0;1;2;3;4;5;6	1444.5580434455053;-1.6653952099321714;1444.5580434455053;4.094158879068466;-1.3401184551807006;12.513810331893517;-1.6380115403155457
1.55179156.G.T	41	79	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.9738;(0.9723,0.9754)	0.828493670886	1.26399367089	0;1;2;3;4;5;6	3719.568838620517;-1.3982993006319262;3719.568838620517;23.61145411955512;-1.28638446224776;47.63106185534619;-1.170742066564074
1.55179255.T.G	9	17	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.9738;(0.9723,0.9754)	0.853882352941	1.28938235294	0;1;2;3;4;5;6	815.94161865265;-1.1511689838542836;815.94161865265;4.5714222194051235;-1.037715573773271;9.876042914925945;-1.1100485479213447
1.55962658.G.A	5	50	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.24355	0.24355	0;1;2;3;4;5;6	442.01885139622107;9.060176800712647;442.01885139622107;-1.3218804488170797;2.4084561494609993;-2.178339557618589;9.741341584580749
