GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0896cb74-deee-46cd-ac66-19f50e4e9503	1	62920	86341	11	-0.8002
0896cb74-deee-46cd-ac66-19f50e4e9503	1	98588	16864367	8686	0.0125
0896cb74-deee-46cd-ac66-19f50e4e9503	1	16868660	16931448	44	0.5419
0896cb74-deee-46cd-ac66-19f50e4e9503	1	16932568	72284670	33979	0.0101
0896cb74-deee-46cd-ac66-19f50e4e9503	1	72290430	72297687	9	-1.5777
0896cb74-deee-46cd-ac66-19f50e4e9503	1	72302735	72345255	45	0.4189
0896cb74-deee-46cd-ac66-19f50e4e9503	1	72345393	75585159	1929	0.0085
0896cb74-deee-46cd-ac66-19f50e4e9503	1	75589078	75589169	2	-1.8925
0896cb74-deee-46cd-ac66-19f50e4e9503	1	75593824	103613021	18056	0.0096
0896cb74-deee-46cd-ac66-19f50e4e9503	1	103613109	103717410	13	-0.7112
0896cb74-deee-46cd-ac66-19f50e4e9503	1	103717617	105457777	909	0.0266
0896cb74-deee-46cd-ac66-19f50e4e9503	1	105458321	105470754	8	0.2961
0896cb74-deee-46cd-ac66-19f50e4e9503	1	105476583	105479738	16	0.9088
0896cb74-deee-46cd-ac66-19f50e4e9503	1	105479753	109690352	2639	0.0143
0896cb74-deee-46cd-ac66-19f50e4e9503	1	109690415	109697556	12	-1.0855
0896cb74-deee-46cd-ac66-19f50e4e9503	1	109702376	152787202	9772	0.0212
0896cb74-deee-46cd-ac66-19f50e4e9503	1	152789447	152796224	37	-1.4616
0896cb74-deee-46cd-ac66-19f50e4e9503	1	152801429	187746723	23467	0.0165
0896cb74-deee-46cd-ac66-19f50e4e9503	1	187748429	187752238	2	-2.0652
0896cb74-deee-46cd-ac66-19f50e4e9503	1	187755479	193186662	3564	0.0155
0896cb74-deee-46cd-ac66-19f50e4e9503	1	193187149	193187218	4	-0.9889
0896cb74-deee-46cd-ac66-19f50e4e9503	1	193190593	194479104	939	0.0146
0896cb74-deee-46cd-ac66-19f50e4e9503	1	194482281	194485888	2	-1.8049
0896cb74-deee-46cd-ac66-19f50e4e9503	1	194487886	196727607	1429	0.0302
0896cb74-deee-46cd-ac66-19f50e4e9503	1	196729112	196916555	134	0.2205
0896cb74-deee-46cd-ac66-19f50e4e9503	1	196917579	202073236	3354	0.0146
0896cb74-deee-46cd-ac66-19f50e4e9503	1	202073744	202082885	4	-1.1593
0896cb74-deee-46cd-ac66-19f50e4e9503	1	202083288	210707583	5966	0.0198
0896cb74-deee-46cd-ac66-19f50e4e9503	1	210707969	216075748	3601	-0.1623
0896cb74-deee-46cd-ac66-19f50e4e9503	1	216076228	220884320	3425	-0.0014
0896cb74-deee-46cd-ac66-19f50e4e9503	1	220895202	221031722	109	0.3882
0896cb74-deee-46cd-ac66-19f50e4e9503	1	221034714	221040655	5	-0.2516
0896cb74-deee-46cd-ac66-19f50e4e9503	1	221040672	221375625	202	0.3083
0896cb74-deee-46cd-ac66-19f50e4e9503	1	221376381	221813353	356	0.6769
0896cb74-deee-46cd-ac66-19f50e4e9503	1	221818252	221818477	2	-0.3654
0896cb74-deee-46cd-ac66-19f50e4e9503	1	221823396	222067076	195	0.6896
0896cb74-deee-46cd-ac66-19f50e4e9503	1	222067348	223767167	1027	0.5393
0896cb74-deee-46cd-ac66-19f50e4e9503	1	223771750	224516534	383	0.136
0896cb74-deee-46cd-ac66-19f50e4e9503	1	224516695	225926213	918	0.3819
0896cb74-deee-46cd-ac66-19f50e4e9503	1	225934386	228543976	1484	0.002
0896cb74-deee-46cd-ac66-19f50e4e9503	1	228552420	231789411	2228	-0.0416
0896cb74-deee-46cd-ac66-19f50e4e9503	1	231790208	231820622	18	-0.5571
0896cb74-deee-46cd-ac66-19f50e4e9503	1	231820949	243636795	9024	-0.0525
0896cb74-deee-46cd-ac66-19f50e4e9503	1	243637346	244808134	765	-0.0039
0896cb74-deee-46cd-ac66-19f50e4e9503	1	244813561	246660555	1308	-0.1387
0896cb74-deee-46cd-ac66-19f50e4e9503	1	246661538	246703903	31	-0.5109
0896cb74-deee-46cd-ac66-19f50e4e9503	1	246706315	246995621	189	-0.1359
0896cb74-deee-46cd-ac66-19f50e4e9503	1	246997024	246998225	2	-2.2486
0896cb74-deee-46cd-ac66-19f50e4e9503	1	247002425	247975055	636	-0.1379
0896cb74-deee-46cd-ac66-19f50e4e9503	1	247975218	248930189	469	-0.0728
0896cb74-deee-46cd-ac66-19f50e4e9503	2	12784	24378642	17916	0.0113
0896cb74-deee-46cd-ac66-19f50e4e9503	2	24378911	24388858	19	-0.6168
0896cb74-deee-46cd-ac66-19f50e4e9503	2	24390690	73622057	32728	0.0144
0896cb74-deee-46cd-ac66-19f50e4e9503	2	73625410	73684396	33	0.6273
0896cb74-deee-46cd-ac66-19f50e4e9503	2	73692070	106258266	15844	0.0162
0896cb74-deee-46cd-ac66-19f50e4e9503	2	106263639	106268901	12	-1.7246
0896cb74-deee-46cd-ac66-19f50e4e9503	2	106270799	242147305	82795	0.011
0896cb74-deee-46cd-ac66-19f50e4e9503	3	20930	182919	154	-0.2181
0896cb74-deee-46cd-ac66-19f50e4e9503	3	188339	195076	9	-1.0103
0896cb74-deee-46cd-ac66-19f50e4e9503	3	195392	93824162	60622	-0.1547
0896cb74-deee-46cd-ac66-19f50e4e9503	3	93824358	96561690	1389	0.1691
0896cb74-deee-46cd-ac66-19f50e4e9503	3	96566239	96568968	3	-0.8776
0896cb74-deee-46cd-ac66-19f50e4e9503	3	96569563	96585044	7	0.0839
0896cb74-deee-46cd-ac66-19f50e4e9503	3	96588814	96607163	11	-0.8452
0896cb74-deee-46cd-ac66-19f50e4e9503	3	96608620	99218119	1422	0.1589
0896cb74-deee-46cd-ac66-19f50e4e9503	3	99218940	99230464	37	-0.2267
0896cb74-deee-46cd-ac66-19f50e4e9503	3	99230470	128661409	18062	0.1599
0896cb74-deee-46cd-ac66-19f50e4e9503	3	128662406	128695318	17	0.6334
0896cb74-deee-46cd-ac66-19f50e4e9503	3	128702323	130031363	613	0.1422
0896cb74-deee-46cd-ac66-19f50e4e9503	3	130035092	130201415	79	-0.1069
0896cb74-deee-46cd-ac66-19f50e4e9503	3	130202376	140823697	6685	0.1635
0896cb74-deee-46cd-ac66-19f50e4e9503	3	140826859	140828142	2	-1.7837
0896cb74-deee-46cd-ac66-19f50e4e9503	3	140841776	149245189	5172	0.1602
0896cb74-deee-46cd-ac66-19f50e4e9503	3	149245608	149248956	23	-0.4895
0896cb74-deee-46cd-ac66-19f50e4e9503	3	149249126	151495959	1443	0.1566
0896cb74-deee-46cd-ac66-19f50e4e9503	3	151496150	151496556	2	1.5489
0896cb74-deee-46cd-ac66-19f50e4e9503	3	151498661	162790480	6887	0.1624
0896cb74-deee-46cd-ac66-19f50e4e9503	3	162794869	162908207	70	0.786
0896cb74-deee-46cd-ac66-19f50e4e9503	3	162908784	193160113	19152	0.1615
0896cb74-deee-46cd-ac66-19f50e4e9503	3	193160173	193165114	19	1.4526
0896cb74-deee-46cd-ac66-19f50e4e9503	3	193168646	195558822	1481	0.1697
0896cb74-deee-46cd-ac66-19f50e4e9503	3	195559056	195737444	40	-0.271
